Owner,Team,First,Last,GM,Goals,Assists,ThrowYds,RecYds,Block,Turn,FantasyPts,Name+Team
,CHN,Jiarong,Guo,M,4,2,132,375,3,1,26.5,CHNJiarongGuo
,CHN,Xin,Li,M,3,2,314,193,0,3,9.4,CHNXinLi
,CHN,Xue,Li,F,1,0,86,27,0,3,-4.9,CHNXueLi
,CHN,Bo,Liu,M,3,1,287,119,0,4,3.1,CHNBoLiu
,CHN,Quan,Mao,M,0,6,498,69,2,7,9.5,CHNQuanMao
,CHN,Xuanxuan,Wang,F,1,1,13,100,1,3,-0.6,CHNXuanxuanWang
,CHN,Simei,Wei,F,0,3,175,144,0,4,-0.8,CHNSimeiWei
,CHN,Yingyi,Xu,M,4,2,24,301,0,3,3.7,CHNYingyiXu
,CHN,Yu,Zeng,M,1,3,268,115,1,1,15.4,CHNYuZeng
,CHN,Lu,Zhang,F,0,1,2,157,0,1,1.2,CHNLuZhang
,CHN,Ying,Zhang,F,0,0,68,-65,0,0,0.8,CHNYingZhang
,CHN,Anqi,Zhou,F,2,0,-30,118,0,1,0.5,CHNAnqiZhou
,CHN,Zhaoje,Zhou,M,1,1,71,62,0,1,2.4,CHNZhaojeZhou
,COL,Ivan,Alba,M,1,3,185,117,1,2,9.9,COLIvanAlba
,COL,Jorge,Bulla,M,0,5,222,81,1,2,11.3,COLJorgeBulla
,COL,Manuel,Candamil,M,2,1,90,65,0,0,7.0,COLManuelCandamil
,COL,Jonathan,Cantor,M,0,1,26,-29,0,0,1.2,COLJonathanCantor
,COL,Manuela,Cárdenas,F,1,2,222,87,0,1,8.4,COLManuelaCárdenas
,COL,Valeria,Cárdenas,F,3,0,213,258,0,3,5.7,COLValeriaCárdenas
,COL,Yina,Cartagena,F,1,3,218,219,0,1,12.0,COLYinaCartagena
,COL,Juan Manuel,Cortes Amariles,M,0,0,15,67,0,0,1.8,COLJuan ManuelCortes Amariles
,COL,Maria,Forero,F,1,1,15,62,0,0,3.7,COLMariaForero
,COL,Ximena,Montaña,F,3,0,-1,106,1,0,9.1,COLXimenaMontaña
,COL,Laura,Ospina,F,1,1,92,113,0,0,7.1,COLLauraOspina
,COL,Andrés,Ramirez,M,5,2,52,154,1,0,15.7,COLAndrésRamirez
,COL,Simón,Ramírez,M,0,0,19,17,0,1,-2.1,COLSimónRamírez
,COL,Maria Paula,Santos,F,2,1,56,107,0,0,6.8,COLMaria PaulaSantos
,FRA,Gaël,Ancelin,M,1,0,232,-21,0,5,-7.4,FRAGaëlAncelin
,FRA,Paul,Benvegnen,M,2,8,569,172,2,2,32.6,FRAPaulBenvegnen
,FRA,Camille,Blanc,F,0,0,14,52,2,1,6.4,FRACamilleBlanc
,FRA,Elliot,Bonnet,M,5,2,151,439,1,2,18.4,FRAElliotBonnet
,FRA,Simone,Raulet,F,2,0,38,116,0,2,-0.5,FRASimoneRaulet
,FRA,Lison,Bornot,F,3,1,45,278,1,2,9.0,FRALisonBornot
,FRA,Zoë,Forget,F,2,0,45,111,0,0,5.6,FRAZoëForget
,FRA,Tifaine,Latchy,F,0,2,105,54,1,0,10.3,FRATifaineLatchy
,FRA,Chloé,Ollivier,F,2,0,-18,101,0,0,3.5,FRAChloéOllivier
,FRA,Sacha,Poitte-Sokolsky,M,4,0,254,77,0,3,4.2,FRASachaPoitte-Sokolsky
,FRA,Sullivan,Roblet,M,2,2,87,70,1,3,3.0,FRASullivanRoblet
,FRA,Simon,Ruelle,M,1,2,68,118,0,2,1.5,FRASimonRuelle
,FRA,Léo,Stanguennec,M,0,5,248,215,2,1,21.8,FRALéoStanguennec
,FRA,Chloé,Vallet,F,0,2,77,125,0,2,0.8,FRAChloéVallet
,GER,Jakob,Dieckmann,M,6,2,156,367,0,3,11.0,GERJakobDieckmann
,GER,Joana,Erdmann,F,1,0,-27,130,1,2,0.8,GERJoanaErdmann
,GER,Hartley,Greenwald,M,1,2,124,90,1,2,6.6,GERHartleyGreenwald
,GER,Paul,Herkens,M,3,2,144,159,6,1,33.6,GERPaulHerkens
,GER,David,Metzger,M,4,4,387,104,2,3,20.8,GERDavidMetzger
,GER,Ava,Mueller,F,3,1,169,25,1,1,10.6,GERAvaMueller
,GER,Nico,Müller,M,1,7,565,106,0,1,24.2,GERNicoMüller
,GER,Nici,Prien,F,2,2,27,239,1,2,7.6,GERNiciPrien
,GER,Charlotte,Schall,F,2,2,229,165,1,1,15.2,GERCharlotteSchall
,GER,Conrad,Schloer,M,4,11,332,447,3,1,43.0,GERConradSchloer
,GER,Lisa,Schütz,F,0,2,150,88,2,2,10.3,GERLisaSchütz
,GER,Nis-Julius,Sontag,M,1,2,164,42,0,1,5.8,GERNis-JuliusSontag
,GER,Levke,Walczak,F,10,1,86,489,1,7,6.4,GERLevkeWalczak
,GER,Verena,Woloson,F,0,0,-11,69,0,1,-1.9,GERVerenaWoloson
,JPN,Taiyo,Arakawa,M,9,0,-37,367,1,0,19.2,JPNTaiyoArakawa
,JPN,Kanari,Imanishi,F,1,0,110,110,1,1,7.5,JPNKanariImanishi
,JPN,Yuko,Kashino,F,2,6,239,213,0,0,19.5,JPNYukoKashino
,JPN,Masashi,Kurono,M,5,5,201,592,1,4,19.9,JPNMasashiKurono
,JPN,Shumpei,Makiyama,M,4,4,216,225,2,2,21.0,JPNShumpeiMakiyama
,JPN,Masahiro,Matsuno,M,0,2,311,89,0,4,1.2,JPNMasahiroMatsuno
,JPN,Hikari,Miyachi,F,0,0,0,0,0,0,0.0,JPNHikariMiyachi
,JPN,Akifumi,Muraoka,M,1,1,167,48,1,0,12.1,JPNAkifumiMuraoka
,JPN,Sho,Okajima,M,3,4,162,198,0,4,3.9,JPNShoOkajima
,JPN,Riyu,Shimizu,F,0,3,418,118,0,3,9.1,JPNRiyuShimizu
,JPN,Ryota,Suzuki,M,1,2,515,-33,0,3,8.9,JPNRyotaSuzuki
,JPN,Miwa,Tajima,F,1,0,6,20,0,0,1.6,JPNMiwaTajima
,JPN,Mayuka,Takada,F,3,3,240,436,0,3,13.0,JPNMayukaTakada
,JPN,Sayako,Nemoto,F,0,0,-31,45,1,0,4.0,JPNSayakoNemoto
,USA,Marques,Brownlee,M,3,2,359,43,1,4,8.8,USAMarquesBrownlee
,USA,Claire,Chastain,F,0,1,89,90,1,3,0.5,USAClaireChastain
,USA,Dawn,Culton,F,3,1,73,151,0,0,9.2,USADawnCulton
,USA,Carolyn,Finney,F,2,3,253,241,1,0,21.5,USACarolynFinney
,USA,Dylan,Freechild,M,1,5,475,-3,2,3,19.3,USADylanFreechild
,USA,Kami,Groom,F,3,2,22,210,0,0,9.9,USAKamiGroom
,USA,Raphy,Hayes,M,4,3,129,450,2,5,12.9,USARaphyHayes
,USA,Kaela,Helton,F,2,2,107,169,1,0,14.6,USAKaelaHelton
,USA,Henry,Ing,M,4,3,110,386,0,1,15.0,USAHenryIng
,USA,Michael,Ing,M,5,3,256,202,5,3,30.8,USAMichaelIng
,USA,Chris,Kocher,M,1,3,316,94,1,0,19.5,USAChrisKocher
,USA,Grant,Lindsley,M,2,6,283,206,0,0,20.7,USAGrantLindsley
,USA,Anna,Thompson,F,2,5,225,254,2,1,23.9,USAAnnaThompson
,USA,Claire,Trop,F,7,0,38,252,1,1,14.2,USAClaireTrop
